[2024-05-07 10:04:35,833] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 10:04:35,833] torch.distributed.run: [WARNING] 
[2024-05-07 10:04:35,833] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 10:04:35,833] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 10:04:35,833] torch.distributed.run: [WARNING] *****************************************
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:35<00:35, 35.29s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:33<00:33, 33.88s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:34<00:34, 34.10s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:34<00:34, 34.11s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 20.89s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 22.88s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 20.97s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 22.91s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:47<00:00, 21.82s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:47<00:00, 23.84s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:46<00:00, 21.08s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:46<00:00, 23.03s/it]
====================get the model with lora====================
trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================get the dataset====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0653092861175537
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0275700092315674
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 0.9645363688468933
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.1947911977767944
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.2679256200790405
Step: 6	 Data: torch.Size([10, 302])	 Training Loss: 1.2404818534851074
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.218109130859375
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.1050101518630981
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.111694097518921
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.0324941873550415
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.379587173461914
Step: 12	 Data: torch.Size([10, 319])	 Training Loss: 1.1885292530059814
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.1888418197631836
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 0.9834969639778137
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 0.9870606064796448
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.2157046794891357
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1383748054504395
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.1939932107925415
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.1201837062835693
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.1211810111999512
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.2382088899612427
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0431723594665527
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1454559564590454
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.0703779458999634
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 1.1490579843521118
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 1.0755833387374878
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.3535747528076172
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1395699977874756
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.108491063117981
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 1.1486564874649048
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 0.9739834070205688
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.0474460124969482
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.016071081161499
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 1.127720832824707
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.165537714958191
