[2024-05-07 05:18:25,636] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 05:18:25,636] torch.distributed.run: [WARNING] 
[2024-05-07 05:18:25,636] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 05:18:25,636] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 05:18:25,636] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:56357 (errno: 22 - Invalid argument).
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.60s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:15<00:15, 15.06s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.32s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:13<00:13, 13.99s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  8.44s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  9.37s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  8.53s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  9.51s/it]
====================get the model with lora====================
trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  8.27s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  9.18s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.12s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  9.00s/it]
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================Use auto mixed precision training====================
====================get the dataset====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0653773546218872
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0276106595993042
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 0.9645853638648987
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.19503915309906
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.2681071758270264
Step: 6	 Data: torch.Size([10, 302])	 Training Loss: 1.2405160665512085
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.218178391456604
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.105043888092041
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.1117717027664185
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.03250253200531
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.379421591758728
Step: 12	 Data: torch.Size([10, 319])	 Training Loss: 1.1883481740951538
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.1886879205703735
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 0.9836070537567139
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 0.9869519472122192
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.2154455184936523
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.138185739517212
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.1937371492385864
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.1199979782104492
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.1210275888442993
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.2376049757003784
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0426498651504517
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1451780796051025
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.0699511766433716
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 1.1487500667572021
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 1.075015902519226
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.353158950805664
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1390957832336426
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.108163833618164
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 1.1479817628860474
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 0.9734357595443726
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.0471197366714478
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.0155200958251953
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 1.1266639232635498
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.1639668941497803
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 0.958476722240448
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.1562682390213013
Step: 38	 Data: torch.Size([10, 384])	 Training Loss: 1.44749915599823
Step: 39	 Data: torch.Size([10, 384])	 Training Loss: 1.2802878618240356
Step: 40	 Data: torch.Size([10, 384])	 Training Loss: 1.1215358972549438
Step: 41	 Data: torch.Size([10, 384])	 Training Loss: 1.1382229328155518
Step: 42	 Data: torch.Size([10, 384])	 Training Loss: 1.030370831489563
Step: 43	 Data: torch.Size([10, 384])	 Training Loss: 1.1316474676132202
Step: 44	 Data: torch.Size([10, 384])	 Training Loss: 0.9786707758903503
Step: 45	 Data: torch.Size([10, 384])	 Training Loss: 0.9350675344467163
Step: 46	 Data: torch.Size([10, 384])	 Training Loss: 1.153955101966858
Step: 47	 Data: torch.Size([10, 384])	 Training Loss: 1.261276125907898
Step: 48	 Data: torch.Size([10, 384])	 Training Loss: 0.9954482316970825
Step: 49	 Data: torch.Size([10, 384])	 Training Loss: 1.020184874534607
Step: 50	 Data: torch.Size([10, 384])	 Training Loss: 1.0398623943328857
Step: 51	 Data: torch.Size([10, 384])	 Training Loss: 0.9517261385917664
Step: 52	 Data: torch.Size([10, 384])	 Training Loss: 0.9488937258720398
Step: 53	 Data: torch.Size([10, 384])	 Training Loss: 1.0060553550720215
Step: 54	 Data: torch.Size([10, 384])	 Training Loss: 1.0731245279312134
Step: 55	 Data: torch.Size([10, 384])	 Training Loss: 1.3033232688903809
Step: 56	 Data: torch.Size([10, 384])	 Training Loss: 1.211227536201477
Step: 57	 Data: torch.Size([10, 384])	 Training Loss: 1.0328192710876465
Step: 58	 Data: torch.Size([10, 384])	 Training Loss: 1.215956449508667
Step: 59	 Data: torch.Size([10, 384])	 Training Loss: 1.0511107444763184
Step: 60	 Data: torch.Size([10, 384])	 Training Loss: 1.0876747369766235
Step: 61	 Data: torch.Size([10, 384])	 Training Loss: 0.9800044298171997
Step: 62	 Data: torch.Size([10, 384])	 Training Loss: 0.975184977054596
Step: 63	 Data: torch.Size([10, 384])	 Training Loss: 0.965506374835968
Step: 64	 Data: torch.Size([10, 384])	 Training Loss: 1.0460785627365112
Step: 65	 Data: torch.Size([10, 384])	 Training Loss: 1.0252031087875366
Step: 66	 Data: torch.Size([10, 384])	 Training Loss: 1.1349281072616577
Step: 67	 Data: torch.Size([10, 384])	 Training Loss: 0.9620168209075928
Step: 68	 Data: torch.Size([10, 384])	 Training Loss: 1.0246096849441528
Step: 69	 Data: torch.Size([10, 384])	 Training Loss: 1.1095681190490723
Step: 70	 Data: torch.Size([10, 384])	 Training Loss: 1.0390496253967285
Step: 71	 Data: torch.Size([10, 384])	 Training Loss: 1.0133434534072876
Step: 72	 Data: torch.Size([10, 384])	 Training Loss: 0.9314864277839661
Step: 73	 Data: torch.Size([10, 384])	 Training Loss: 0.925266683101654
Step: 74	 Data: torch.Size([10, 384])	 Training Loss: 0.9454119801521301
Step: 75	 Data: torch.Size([10, 384])	 Training Loss: 1.1128636598587036
Step: 76	 Data: torch.Size([10, 384])	 Training Loss: 0.9104310274124146
Step: 77	 Data: torch.Size([10, 384])	 Training Loss: 1.0516302585601807
Step: 78	 Data: torch.Size([10, 384])	 Training Loss: 1.0537632703781128
Step: 79	 Data: torch.Size([10, 384])	 Training Loss: 1.2066357135772705
Step: 80	 Data: torch.Size([10, 384])	 Training Loss: 1.007905125617981
Step: 81	 Data: torch.Size([10, 384])	 Training Loss: 1.036333680152893
Step: 82	 Data: torch.Size([10, 384])	 Training Loss: 1.0474560260772705
Step: 83	 Data: torch.Size([10, 384])	 Training Loss: 1.1286698579788208
Step: 84	 Data: torch.Size([10, 384])	 Training Loss: 1.0897599458694458
Step: 85	 Data: torch.Size([10, 384])	 Training Loss: 1.055419683456421
Step: 86	 Data: torch.Size([10, 384])	 Training Loss: 1.1880255937576294
Step: 87	 Data: torch.Size([10, 384])	 Training Loss: 1.0321333408355713
Step: 88	 Data: torch.Size([10, 384])	 Training Loss: 1.1317954063415527
Step: 89	 Data: torch.Size([10, 384])	 Training Loss: 0.9627878665924072
Step: 90	 Data: torch.Size([10, 384])	 Training Loss: 1.1388579607009888
Step: 91	 Data: torch.Size([10, 384])	 Training Loss: 0.894012451171875
Step: 92	 Data: torch.Size([10, 384])	 Training Loss: 0.9167459607124329
Step: 93	 Data: torch.Size([10, 384])	 Training Loss: 0.9164464473724365
Step: 94	 Data: torch.Size([10, 384])	 Training Loss: 0.8532997369766235
Step: 95	 Data: torch.Size([10, 384])	 Training Loss: 0.914875328540802
Step: 96	 Data: torch.Size([10, 384])	 Training Loss: 0.9832853674888611
Step: 97	 Data: torch.Size([10, 384])	 Training Loss: 0.9997010827064514
Step: 98	 Data: torch.Size([10, 384])	 Training Loss: 1.1272809505462646
Step: 99	 Data: torch.Size([10, 384])	 Training Loss: 0.9412859678268433
Step: 100	 Data: torch.Size([10, 384])	 Training Loss: 0.9710877537727356
Step: 101	 Data: torch.Size([10, 384])	 Training Loss: 1.059810996055603
Step: 102	 Data: torch.Size([10, 384])	 Training Loss: 1.0387533903121948
Step: 103	 Data: torch.Size([10, 384])	 Training Loss: 0.9935048818588257
Step: 104	 Data: torch.Size([10, 384])	 Training Loss: 1.11574387550354
Step: 105	 Data: torch.Size([10, 384])	 Training Loss: 1.030925989151001
Step: 106	 Data: torch.Size([10, 384])	 Training Loss: 0.9657148122787476
Step: 107	 Data: torch.Size([10, 384])	 Training Loss: 1.021916389465332
Step: 108	 Data: torch.Size([10, 384])	 Training Loss: 0.8744078278541565
Step: 109	 Data: torch.Size([10, 384])	 Training Loss: 1.0670567750930786
Step: 110	 Data: torch.Size([10, 384])	 Training Loss: 1.0481218099594116
Step: 111	 Data: torch.Size([10, 384])	 Training Loss: 0.8498537540435791
Step: 112	 Data: torch.Size([10, 384])	 Training Loss: 1.0276012420654297
