[2024-05-07 09:45:34,572] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 09:45:34,573] torch.distributed.run: [WARNING] 
[2024-05-07 09:45:34,573] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 09:45:34,573] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 09:45:34,573] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:39907 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:39907 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:39907 (errno: 22 - Invalid argument).
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:13<00:13, 13.80s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.27s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.65s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.81s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.02s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.89s/it]
====================Use tensor parallel====================
====================convert origin mlp to parallel mlp====================
====================get the model with lora====================
trainable params: 4,194,304 || all params: 4,578,349,056 || trainable%: 0.09161171305851609
Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  8.28s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  9.18s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  8.37s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  9.33s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  8.42s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  9.36s/it]
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================get the dataset====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0653094053268433
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0275386571884155
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 0.9644843935966492
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.19473397731781
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.267825961112976
Step: 6	 Data: torch.Size([10, 302])	 Training Loss: 1.2403688430786133
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.217919945716858
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.104871392250061
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.1115317344665527
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.032117486000061
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.3792682886123657
Step: 12	 Data: torch.Size([10, 319])	 Training Loss: 1.1881181001663208
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.1883045434951782
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 0.9831594228744507
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 0.9868951439857483
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.2151108980178833
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1379064321517944
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.193259358406067
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.1197565793991089
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.1206283569335938
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.237307071685791
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0423442125320435
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1447021961212158
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.069498062133789
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 1.1486914157867432
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 1.074837327003479
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.3529545068740845
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1384221315383911
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.107695460319519
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 1.1476638317108154
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 0.973555862903595
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.0465937852859497
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.0153083801269531
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 1.1261858940124512
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.16386079788208
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 0.9580948352813721
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.155914545059204
Step: 38	 Data: torch.Size([10, 384])	 Training Loss: 1.4469952583312988
Step: 39	 Data: torch.Size([10, 384])	 Training Loss: 1.2792887687683105
Step: 40	 Data: torch.Size([10, 384])	 Training Loss: 1.121138095855713
Step: 41	 Data: torch.Size([10, 384])	 Training Loss: 1.1378978490829468
Step: 42	 Data: torch.Size([10, 384])	 Training Loss: 1.0297367572784424
Step: 43	 Data: torch.Size([10, 384])	 Training Loss: 1.1311495304107666
Step: 44	 Data: torch.Size([10, 384])	 Training Loss: 0.9785129427909851
Step: 45	 Data: torch.Size([10, 384])	 Training Loss: 0.9343982934951782
Step: 46	 Data: torch.Size([10, 384])	 Training Loss: 1.1537240743637085
Step: 47	 Data: torch.Size([10, 384])	 Training Loss: 1.260425090789795
Step: 48	 Data: torch.Size([10, 384])	 Training Loss: 0.9948397278785706
Step: 49	 Data: torch.Size([10, 384])	 Training Loss: 1.019124150276184
Step: 50	 Data: torch.Size([10, 384])	 Training Loss: 1.039071798324585
Step: 51	 Data: torch.Size([10, 384])	 Training Loss: 0.9507024884223938
Step: 52	 Data: torch.Size([10, 384])	 Training Loss: 0.9482998847961426
Step: 53	 Data: torch.Size([10, 384])	 Training Loss: 1.004629135131836
Step: 54	 Data: torch.Size([10, 384])	 Training Loss: 1.0716408491134644
Step: 55	 Data: torch.Size([10, 384])	 Training Loss: 1.3019367456436157
Step: 56	 Data: torch.Size([10, 384])	 Training Loss: 1.2100939750671387
Step: 57	 Data: torch.Size([10, 384])	 Training Loss: 1.0313342809677124
Step: 58	 Data: torch.Size([10, 384])	 Training Loss: 1.2147530317306519
Step: 59	 Data: torch.Size([10, 384])	 Training Loss: 1.049865961074829
Step: 60	 Data: torch.Size([10, 384])	 Training Loss: 1.0859992504119873
Step: 61	 Data: torch.Size([10, 384])	 Training Loss: 0.9783633947372437
Step: 62	 Data: torch.Size([10, 384])	 Training Loss: 0.9737641215324402
Step: 63	 Data: torch.Size([10, 384])	 Training Loss: 0.9640668034553528
Step: 64	 Data: torch.Size([10, 384])	 Training Loss: 1.0442332029342651
Step: 65	 Data: torch.Size([10, 384])	 Training Loss: 1.023681402206421
Step: 66	 Data: torch.Size([10, 384])	 Training Loss: 1.132900595664978
Step: 67	 Data: torch.Size([10, 384])	 Training Loss: 0.961000919342041
Step: 68	 Data: torch.Size([10, 384])	 Training Loss: 1.0218127965927124
Step: 69	 Data: torch.Size([10, 384])	 Training Loss: 1.1084076166152954
Step: 70	 Data: torch.Size([10, 384])	 Training Loss: 1.037989854812622
Step: 71	 Data: torch.Size([10, 384])	 Training Loss: 1.0119845867156982
Step: 72	 Data: torch.Size([10, 384])	 Training Loss: 0.9301080107688904
Step: 73	 Data: torch.Size([10, 384])	 Training Loss: 0.9236928224563599
Step: 74	 Data: torch.Size([10, 384])	 Training Loss: 0.942818284034729
Step: 75	 Data: torch.Size([10, 384])	 Training Loss: 1.1111834049224854
Step: 76	 Data: torch.Size([10, 384])	 Training Loss: 0.9105125665664673
Step: 77	 Data: torch.Size([10, 384])	 Training Loss: 1.0498425960540771
Step: 78	 Data: torch.Size([10, 384])	 Training Loss: 1.052343487739563
Step: 79	 Data: torch.Size([10, 384])	 Training Loss: 1.204729437828064
Step: 80	 Data: torch.Size([10, 384])	 Training Loss: 1.006115198135376
Step: 81	 Data: torch.Size([10, 384])	 Training Loss: 1.0359679460525513
Step: 82	 Data: torch.Size([10, 384])	 Training Loss: 1.0472513437271118
Step: 83	 Data: torch.Size([10, 384])	 Training Loss: 1.1267136335372925
Step: 84	 Data: torch.Size([10, 384])	 Training Loss: 1.087272047996521
Step: 85	 Data: torch.Size([10, 384])	 Training Loss: 1.053853988647461
Step: 86	 Data: torch.Size([10, 384])	 Training Loss: 1.1864738464355469
Step: 87	 Data: torch.Size([10, 384])	 Training Loss: 1.0300928354263306
Step: 88	 Data: torch.Size([10, 384])	 Training Loss: 1.1309196949005127
Step: 89	 Data: torch.Size([10, 384])	 Training Loss: 0.9622763395309448
Step: 90	 Data: torch.Size([10, 384])	 Training Loss: 1.1373103857040405
Step: 91	 Data: torch.Size([10, 384])	 Training Loss: 0.8931975364685059
Step: 92	 Data: torch.Size([10, 384])	 Training Loss: 0.9161936044692993
Step: 93	 Data: torch.Size([10, 384])	 Training Loss: 0.9159578084945679
Step: 94	 Data: torch.Size([10, 384])	 Training Loss: 0.8538640141487122
Step: 95	 Data: torch.Size([10, 384])	 Training Loss: 0.9148028492927551
Step: 96	 Data: torch.Size([10, 384])	 Training Loss: 0.9831827878952026
Step: 97	 Data: torch.Size([10, 384])	 Training Loss: 0.9987090826034546
Step: 98	 Data: torch.Size([10, 384])	 Training Loss: 1.126994252204895
Step: 99	 Data: torch.Size([10, 384])	 Training Loss: 0.9420339465141296
Step: 100	 Data: torch.Size([10, 384])	 Training Loss: 0.971744954586029
Step: 101	 Data: torch.Size([10, 384])	 Training Loss: 1.0607484579086304
Step: 102	 Data: torch.Size([10, 384])	 Training Loss: 1.0378451347351074
Step: 103	 Data: torch.Size([10, 384])	 Training Loss: 0.9935380220413208
Step: 104	 Data: torch.Size([10, 384])	 Training Loss: 1.116282343864441
Step: 105	 Data: torch.Size([10, 384])	 Training Loss: 1.0322285890579224
Step: 106	 Data: torch.Size([10, 384])	 Training Loss: 0.966233491897583
Step: 107	 Data: torch.Size([10, 384])	 Training Loss: 1.0230566263198853
Step: 108	 Data: torch.Size([10, 384])	 Training Loss: 0.8751662969589233
Step: 109	 Data: torch.Size([10, 384])	 Training Loss: 1.0668716430664062
Step: 110	 Data: torch.Size([10, 384])	 Training Loss: 1.0474663972854614
Step: 111	 Data: torch.Size([10, 384])	 Training Loss: 0.8499910831451416
Step: 112	 Data: torch.Size([10, 384])	 Training Loss: 1.027974247932434
Step: 113	 Data: torch.Size([10, 384])	 Training Loss: 0.9663174748420715
Step: 114	 Data: torch.Size([10, 349])	 Training Loss: 0.9726732969284058
Step: 115	 Data: torch.Size([10, 384])	 Training Loss: 0.8162022829055786
Step: 116	 Data: torch.Size([10, 384])	 Training Loss: 0.9826587438583374
Step: 117	 Data: torch.Size([10, 384])	 Training Loss: 1.2592421770095825
Step: 118	 Data: torch.Size([10, 384])	 Training Loss: 0.8871641755104065
Step: 119	 Data: torch.Size([10, 384])	 Training Loss: 0.9072423577308655
Step: 120	 Data: torch.Size([10, 384])	 Training Loss: 0.9292601346969604
Step: 121	 Data: torch.Size([10, 384])	 Training Loss: 0.900461733341217
Step: 122	 Data: torch.Size([10, 384])	 Training Loss: 0.9928044676780701
Step: 123	 Data: torch.Size([10, 384])	 Training Loss: 0.9763600826263428
Step: 124	 Data: torch.Size([10, 384])	 Training Loss: 1.0366929769515991
Step: 125	 Data: torch.Size([10, 384])	 Training Loss: 1.003239393234253
