[2024-05-07 07:30:38,004] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 07:30:38,005] torch.distributed.run: [WARNING] 
[2024-05-07 07:30:38,005] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 07:30:38,005] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 07:30:38,005] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:49539 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:49539 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:49539 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:49539 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:49539 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:49539 (errno: 22 - Invalid argument).
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:12<00:12, 12.56s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:11<00:11, 11.81s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:13<00:13, 13.01s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:13<00:13, 13.50s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:15<00:00,  7.06s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:15<00:00,  7.88s/it]
====================Use tensor parallel====================
====================convert origin mlp to parallel mlp====================
====================get the model with lora====================
trainable params: 4,194,304 || all params: 4,578,349,056 || trainable%: 0.09161171305851609
Loading checkpoint shards: 100%|██████████| 2/2 [00:15<00:00,  6.80s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:15<00:00,  7.55s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:16<00:00,  7.24s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:16<00:00,  8.11s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:16<00:00,  7.42s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:16<00:00,  8.33s/it]
====================Use auto mixed precision training====================
====================get the dataset====================
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0653685331344604
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0277444124221802
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 0.9646273851394653
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.1948641538619995
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.2681008577346802
Step: 6	 Data: torch.Size([10, 302])	 Training Loss: 1.2405883073806763
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.2182424068450928
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.1050831079483032
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.1117470264434814
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.0325748920440674
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.3795576095581055
Step: 12	 Data: torch.Size([10, 319])	 Training Loss: 1.1881909370422363
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.1888322830200195
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 0.9837815165519714
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 0.9869884848594666
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.2155686616897583
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1383906602859497
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.1936887502670288
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.119984745979309
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.1209042072296143
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.2375491857528687
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0426230430603027
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1451318264007568
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.0697921514511108
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 1.148635745048523
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 1.075157642364502
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.352899432182312
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1391613483428955
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.1081666946411133
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 1.1479439735412598
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 0.9731775522232056
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.04697847366333
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.015527606010437
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 1.1264684200286865
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.163822889328003
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 0.9580402970314026
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.15606689453125
Step: 38	 Data: torch.Size([10, 384])	 Training Loss: 1.4473292827606201
Step: 39	 Data: torch.Size([10, 384])	 Training Loss: 1.2801313400268555
Step: 40	 Data: torch.Size([10, 384])	 Training Loss: 1.1215351819992065
Step: 41	 Data: torch.Size([10, 384])	 Training Loss: 1.1384435892105103
Step: 42	 Data: torch.Size([10, 384])	 Training Loss: 1.0303258895874023
Step: 43	 Data: torch.Size([10, 384])	 Training Loss: 1.1316512823104858
Step: 44	 Data: torch.Size([10, 384])	 Training Loss: 0.9786365628242493
