[2024-05-07 08:06:17,099] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 08:06:17,100] torch.distributed.run: [WARNING] 
[2024-05-07 08:06:17,100] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 08:06:17,100] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 08:06:17,100] torch.distributed.run: [WARNING] *****************************************
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:31<00:31, 31.93s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:33<00:33, 33.10s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:33<00:33, 33.29s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:35<00:35, 35.84s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 20.62s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 22.52s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 20.66s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 22.52s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 21.00s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:45<00:00, 22.64s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:47<00:00, 21.80s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:47<00:00, 23.91s/it]
====================get the model with lora====================
trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
====================Use auto mixed precision training====================
====================Use distributed data parallel====================
====================get the dataset====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0071955919265747
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.045760989189148
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 1.1253570318222046
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.0781497955322266
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.0078004598617554
Step: 6	 Data: torch.Size([10, 384])	 Training Loss: 1.1446142196655273
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.0277587175369263
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.2210657596588135
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.082646369934082
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.086905837059021
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.013844609260559
Step: 12	 Data: torch.Size([10, 384])	 Training Loss: 1.0503935813903809
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.0890862941741943
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 1.2323522567749023
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 1.0377390384674072
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.1246185302734375
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1545791625976562
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.0535247325897217
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.2129892110824585
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.0159326791763306
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.0224390029907227
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0416233539581299
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1336780786514282
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.1639617681503296
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 0.9760693311691284
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 0.9518563747406006
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.2121018171310425
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1049866676330566
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.1101783514022827
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 0.9708536267280579
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 1.1117802858352661
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.1106021404266357
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.015649437904358
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 0.8904293179512024
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.020521879196167
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 1.0476669073104858
