[2024-05-08 02:21:51,940] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-08 02:21:51,940] torch.distributed.run: [WARNING] 
[2024-05-08 02:21:51,940] torch.distributed.run: [WARNING] *****************************************
[2024-05-08 02:21:51,940] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-08 02:21:51,940] torch.distributed.run: [WARNING] *****************************************
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:10<00:10, 10.61s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:10<00:10, 10.46s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:10<00:10, 10.61s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:10<00:10, 10.72s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  6.39s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  7.00s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  6.56s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  7.17s/it]
====================get the model with lora====================
trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  6.55s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  7.16s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  6.53s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  7.16s/it]
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
====================Use gradient checkpoint====================
====================Use distributed data parallel====================
====================get the dataset====================
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0071995258331299
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0455563068389893
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 1.12528395652771
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.077960729598999
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.0077317953109741
Step: 6	 Data: torch.Size([10, 384])	 Training Loss: 1.144497036933899
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.027693748474121
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.221079707145691
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.08279287815094
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.087111473083496
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.0139505863189697
Step: 12	 Data: torch.Size([10, 384])	 Training Loss: 1.0507060289382935
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.0893858671188354
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 1.2325350046157837
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 1.0379582643508911
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.1252912282943726
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1551158428192139
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.0542081594467163
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.2139973640441895
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.0165919065475464
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.023639440536499
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.042292833328247
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1349536180496216
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.1651012897491455
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 0.9769537448883057
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 0.9529433250427246
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.2126578092575073
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1059490442276
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.110910177230835
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 0.9721893668174744
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 1.1131842136383057
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.111722707748413
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.0172370672225952
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 0.8912702202796936
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.0224924087524414
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 1.049627661705017
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.097509741783142
Step: 38	 Data: torch.Size([10, 384])	 Training Loss: 0.9496304392814636
Step: 39	 Data: torch.Size([10, 384])	 Training Loss: 0.9964064955711365
Step: 40	 Data: torch.Size([10, 384])	 Training Loss: 1.0228322744369507
Step: 41	 Data: torch.Size([10, 384])	 Training Loss: 1.1557387113571167
Step: 42	 Data: torch.Size([10, 384])	 Training Loss: 0.9969431757926941
Step: 43	 Data: torch.Size([10, 384])	 Training Loss: 1.0822365283966064
Step: 44	 Data: torch.Size([10, 384])	 Training Loss: 1.2321586608886719
Step: 45	 Data: torch.Size([10, 384])	 Training Loss: 1.0829980373382568
Step: 46	 Data: torch.Size([10, 384])	 Training Loss: 0.9623205661773682
Step: 47	 Data: torch.Size([10, 384])	 Training Loss: 0.9661489129066467
Step: 48	 Data: torch.Size([10, 384])	 Training Loss: 1.1922225952148438
Step: 49	 Data: torch.Size([10, 384])	 Training Loss: 1.13582181930542
Step: 50	 Data: torch.Size([10, 384])	 Training Loss: 1.1879628896713257
Step: 51	 Data: torch.Size([10, 384])	 Training Loss: 1.0012115240097046
Step: 52	 Data: torch.Size([10, 384])	 Training Loss: 1.0061808824539185
Step: 53	 Data: torch.Size([10, 384])	 Training Loss: 1.081127643585205
Step: 54	 Data: torch.Size([10, 384])	 Training Loss: 1.0628091096878052
Step: 55	 Data: torch.Size([10, 384])	 Training Loss: 0.9663383960723877
Step: 56	 Data: torch.Size([10, 384])	 Training Loss: 1.1059516668319702
Step: 57	 Data: torch.Size([10, 384])	 Training Loss: 0.9611345529556274
Step: 58	 Data: torch.Size([10, 384])	 Training Loss: 0.8897607922554016
Step: 59	 Data: torch.Size([10, 384])	 Training Loss: 1.1172581911087036
Step: 60	 Data: torch.Size([10, 384])	 Training Loss: 1.1079798936843872
