[2024-05-08 02:08:38,980] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-08 02:08:38,980] torch.distributed.run: [WARNING] 
[2024-05-08 02:08:38,980] torch.distributed.run: [WARNING] *****************************************
[2024-05-08 02:08:38,980] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-08 02:08:38,980] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-200]:42625 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-200]:42625 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-200]:42625 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-200]:42625 (errno: 22 - Invalid argument).
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:16<00:16, 16.02s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:16<00:16, 16.36s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:16<00:16, 16.39s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:16<00:16, 16.41s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 10.30s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 11.22s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 10.43s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 11.32s/it]
====================Use tensor parallel====================
====================convert origin mlp to parallel mlp====================
====================get the model with lora====================
Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 10.52s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 11.35s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 10.45s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:22<00:00, 11.34s/it]
trainable params: 4,194,304 || all params: 4,578,349,056 || trainable%: 0.09161171305851609
====================Use distributed data parallel====================
====================get the dataset====================
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0071995258331299
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0454994440078735
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 1.1251885890960693
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.0779013633728027
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.0075266361236572
Step: 6	 Data: torch.Size([10, 384])	 Training Loss: 1.1444844007492065
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.0274653434753418
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.2209542989730835
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.082501769065857
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.086734652519226
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.0137908458709717
Step: 12	 Data: torch.Size([10, 384])	 Training Loss: 1.0503711700439453
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.0889493227005005
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 1.2321486473083496
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 1.0376815795898438
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.1248540878295898
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.154625415802002
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.0534908771514893
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.212921380996704
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.0160245895385742
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.022684097290039
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0417296886444092
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1337651014328003
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.164349913597107
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 0.9764332175254822
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 0.9522954821586609
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.2121104001998901
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1051441431045532
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.1106798648834229
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 0.9712355136871338
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 1.1123178005218506
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.1110678911209106
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.016272783279419
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 0.8910983800888062
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.0211257934570312
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 1.048714518547058
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.0971449613571167
Step: 38	 Data: torch.Size([10, 384])	 Training Loss: 0.9491850137710571
Step: 39	 Data: torch.Size([10, 384])	 Training Loss: 0.9959468841552734
Step: 40	 Data: torch.Size([10, 384])	 Training Loss: 1.0219886302947998
Step: 41	 Data: torch.Size([10, 384])	 Training Loss: 1.1547703742980957
Step: 42	 Data: torch.Size([10, 384])	 Training Loss: 0.9958669543266296
