[2024-05-07 07:14:14,720] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 07:14:14,720] torch.distributed.run: [WARNING] 
[2024-05-07 07:14:14,720] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 07:14:14,720] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 07:14:14,720] torch.distributed.run: [WARNING] *****************************************
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.42s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.75s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:13<00:13, 13.86s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:15<00:15, 15.87s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  8.32s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:18<00:00,  9.24s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.08s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.95s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  8.85s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  9.73s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:20<00:00,  9.30s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:20<00:00, 10.28s/it]
====================Use tensor parallel====================
====================convert origin mlp to parallel mlp====================
====================get the model with lora====================
trainable params: 4,194,304 || all params: 4,578,349,056 || trainable%: 0.09161171305851609
====================Use auto mixed precision training====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
====================Use distributed data parallel====================
====================get the dataset====================
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0071676969528198
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0456933975219727
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 1.1254514455795288
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.0780746936798096
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.0079350471496582
Step: 6	 Data: torch.Size([10, 384])	 Training Loss: 1.144666314125061
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.0279358625411987
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.2212482690811157
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.0828622579574585
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.0872328281402588
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.0139939785003662
Step: 12	 Data: torch.Size([10, 384])	 Training Loss: 1.0506513118743896
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.089441180229187
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 1.2323752641677856
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 1.037771224975586
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.1248531341552734
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1549097299575806
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.0540251731872559
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.2138150930404663
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.0162326097488403
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.02297043800354
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0416219234466553
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.134427547454834
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.1641359329223633
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 0.9763954281806946
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 0.9521308541297913
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.212331771850586
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.105424165725708
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.1104825735092163
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 0.9715714454650879
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 1.1116763353347778
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.1110347509384155
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.016101598739624
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 0.8906257152557373
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.0210415124893188
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 1.048309564590454
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.0961949825286865
