[2024-05-07 06:57:57,092] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-05-07 06:57:57,093] torch.distributed.run: [WARNING] 
[2024-05-07 06:57:57,093] torch.distributed.run: [WARNING] *****************************************
[2024-05-07 06:57:57,093] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-05-07 06:57:57,093] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:42409 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:42409 (errno: 22 - Invalid argument).
[W socket.cpp:663] [c10d] The client socket has failed to connect to [H100-199]:42409 (errno: 22 - Invalid argument).
====================initialize the distributed env====================
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.75s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:15<00:15, 15.23s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:14<00:14, 14.83s/it]Loading checkpoint shards:  50%|█████     | 1/2 [00:13<00:13, 13.34s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  8.63s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  9.55s/it]
====================Use tensor parallel====================
====================convert origin mlp to parallel mlp====================
====================get the model with lora====================
trainable params: 4,194,304 || all params: 4,578,349,056 || trainable%: 0.09161171305851609
Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  8.69s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  9.68s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  8.63s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:19<00:00,  9.56s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.01s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:17<00:00,  8.81s/it]
====================Use auto mixed precision training====================
====================Use gradient checkpoint====================
====================Use distributed data parallel====================
====================get the dataset====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
====================get the dataloader====================
====================start train====================
You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/genghaozhe/.pyenv/versions/3.10.14/envs/colossalai-py310/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Step: 1	 Data: torch.Size([10, 384])	 Training Loss: 1.0071676969528198
Step: 2	 Data: torch.Size([10, 384])	 Training Loss: 1.0458227396011353
Step: 3	 Data: torch.Size([10, 384])	 Training Loss: 1.1254773139953613
Step: 4	 Data: torch.Size([10, 384])	 Training Loss: 1.0781933069229126
Step: 5	 Data: torch.Size([10, 384])	 Training Loss: 1.0081243515014648
Step: 6	 Data: torch.Size([10, 384])	 Training Loss: 1.1449573040008545
Step: 7	 Data: torch.Size([10, 384])	 Training Loss: 1.0280742645263672
Step: 8	 Data: torch.Size([10, 384])	 Training Loss: 1.221281886100769
Step: 9	 Data: torch.Size([10, 384])	 Training Loss: 1.083167552947998
Step: 10	 Data: torch.Size([10, 384])	 Training Loss: 1.0874831676483154
Step: 11	 Data: torch.Size([10, 384])	 Training Loss: 1.0143710374832153
Step: 12	 Data: torch.Size([10, 384])	 Training Loss: 1.0509512424468994
Step: 13	 Data: torch.Size([10, 384])	 Training Loss: 1.0894582271575928
Step: 14	 Data: torch.Size([10, 384])	 Training Loss: 1.2328920364379883
Step: 15	 Data: torch.Size([10, 384])	 Training Loss: 1.0379862785339355
Step: 16	 Data: torch.Size([10, 384])	 Training Loss: 1.1256811618804932
Step: 17	 Data: torch.Size([10, 384])	 Training Loss: 1.1554161310195923
Step: 18	 Data: torch.Size([10, 384])	 Training Loss: 1.0545414686203003
Step: 19	 Data: torch.Size([10, 384])	 Training Loss: 1.2144526243209839
Step: 20	 Data: torch.Size([10, 384])	 Training Loss: 1.0168519020080566
Step: 21	 Data: torch.Size([10, 384])	 Training Loss: 1.0243369340896606
Step: 22	 Data: torch.Size([10, 384])	 Training Loss: 1.0425821542739868
Step: 23	 Data: torch.Size([10, 384])	 Training Loss: 1.1352845430374146
Step: 24	 Data: torch.Size([10, 384])	 Training Loss: 1.1650816202163696
Step: 25	 Data: torch.Size([10, 384])	 Training Loss: 0.9772723317146301
Step: 26	 Data: torch.Size([10, 384])	 Training Loss: 0.9529059529304504
Step: 27	 Data: torch.Size([10, 384])	 Training Loss: 1.2126530408859253
Step: 28	 Data: torch.Size([10, 384])	 Training Loss: 1.1058224439620972
Step: 29	 Data: torch.Size([10, 384])	 Training Loss: 1.1110128164291382
Step: 30	 Data: torch.Size([10, 384])	 Training Loss: 0.9721902012825012
Step: 31	 Data: torch.Size([10, 384])	 Training Loss: 1.1134884357452393
Step: 32	 Data: torch.Size([10, 384])	 Training Loss: 1.1120251417160034
Step: 33	 Data: torch.Size([10, 384])	 Training Loss: 1.0178024768829346
Step: 34	 Data: torch.Size([10, 384])	 Training Loss: 0.8913901448249817
Step: 35	 Data: torch.Size([10, 384])	 Training Loss: 1.0228809118270874
Step: 36	 Data: torch.Size([10, 384])	 Training Loss: 1.0500729084014893
Step: 37	 Data: torch.Size([10, 384])	 Training Loss: 1.0974754095077515
Step: 38	 Data: torch.Size([10, 384])	 Training Loss: 0.9500343799591064
Step: 39	 Data: torch.Size([10, 384])	 Training Loss: 0.9963648915290833
Step: 40	 Data: torch.Size([10, 384])	 Training Loss: 1.0233863592147827
Step: 41	 Data: torch.Size([10, 384])	 Training Loss: 1.1555438041687012
Step: 42	 Data: torch.Size([10, 384])	 Training Loss: 0.9972964525222778
Step: 43	 Data: torch.Size([10, 384])	 Training Loss: 1.0823352336883545
Step: 44	 Data: torch.Size([10, 384])	 Training Loss: 1.2323718070983887
Step: 45	 Data: torch.Size([10, 384])	 Training Loss: 1.0834330320358276
Step: 46	 Data: torch.Size([10, 384])	 Training Loss: 0.9621968269348145
Step: 47	 Data: torch.Size([10, 384])	 Training Loss: 0.9663746953010559
Step: 48	 Data: torch.Size([10, 384])	 Training Loss: 1.1921683549880981
Step: 49	 Data: torch.Size([10, 384])	 Training Loss: 1.1361606121063232
Step: 50	 Data: torch.Size([10, 384])	 Training Loss: 1.1882425546646118
Step: 51	 Data: torch.Size([10, 384])	 Training Loss: 1.0013868808746338
Step: 52	 Data: torch.Size([10, 384])	 Training Loss: 1.0063681602478027
Step: 53	 Data: torch.Size([10, 384])	 Training Loss: 1.0811814069747925
Step: 54	 Data: torch.Size([10, 384])	 Training Loss: 1.0638117790222168
Step: 55	 Data: torch.Size([10, 384])	 Training Loss: 0.9669166207313538
Step: 56	 Data: torch.Size([10, 384])	 Training Loss: 1.106549620628357
Step: 57	 Data: torch.Size([10, 384])	 Training Loss: 0.9610052108764648
Step: 58	 Data: torch.Size([10, 384])	 Training Loss: 0.8900092840194702
Step: 59	 Data: torch.Size([10, 384])	 Training Loss: 1.118028163909912
Step: 60	 Data: torch.Size([10, 384])	 Training Loss: 1.108763575553894
Step: 61	 Data: torch.Size([10, 384])	 Training Loss: 0.9437440633773804
Step: 62	 Data: torch.Size([10, 384])	 Training Loss: 1.1802000999450684
Step: 63	 Data: torch.Size([10, 384])	 Training Loss: 1.0604437589645386
Step: 64	 Data: torch.Size([10, 384])	 Training Loss: 0.9948186874389648
Step: 65	 Data: torch.Size([10, 384])	 Training Loss: 0.9858876466751099
Step: 66	 Data: torch.Size([10, 384])	 Training Loss: 1.0117720365524292
Step: 67	 Data: torch.Size([10, 384])	 Training Loss: 1.01402747631073
Step: 68	 Data: torch.Size([10, 384])	 Training Loss: 1.1484447717666626
Step: 69	 Data: torch.Size([10, 384])	 Training Loss: 1.1742554903030396
Step: 70	 Data: torch.Size([10, 384])	 Training Loss: 0.9310463070869446
Step: 71	 Data: torch.Size([10, 384])	 Training Loss: 0.9467620253562927
Step: 72	 Data: torch.Size([10, 350])	 Training Loss: 1.4290285110473633
Step: 73	 Data: torch.Size([10, 384])	 Training Loss: 0.9314984679222107
Step: 74	 Data: torch.Size([10, 384])	 Training Loss: 1.06641685962677
Step: 75	 Data: torch.Size([10, 384])	 Training Loss: 0.9794617295265198
Step: 76	 Data: torch.Size([10, 384])	 Training Loss: 0.8642265200614929
Step: 77	 Data: torch.Size([10, 384])	 Training Loss: 1.113171935081482
Step: 78	 Data: torch.Size([10, 384])	 Training Loss: 1.0265893936157227
Step: 79	 Data: torch.Size([10, 384])	 Training Loss: 1.2342438697814941
Step: 80	 Data: torch.Size([10, 384])	 Training Loss: 1.0613224506378174
Step: 81	 Data: torch.Size([10, 384])	 Training Loss: 1.0349704027175903
Step: 82	 Data: torch.Size([10, 384])	 Training Loss: 1.064794659614563
Step: 83	 Data: torch.Size([10, 384])	 Training Loss: 1.040191888809204
Step: 84	 Data: torch.Size([10, 384])	 Training Loss: 0.8628283143043518
Step: 85	 Data: torch.Size([10, 384])	 Training Loss: 0.9681520462036133
Step: 86	 Data: torch.Size([10, 384])	 Training Loss: 1.103440761566162
